Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Landscape,Aotearoa New Zealand,South Island,Mt Cook,MOUNT COOK,Aoraki,Aoraki_17.webp,Aoraki_17_1.webp,,,,,Mt Cook
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_2.webp,MountAspiring_2_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_6.webp,MountAspiring_6_1.webp,,,-10,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_3.webp,MountAspiring_3_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_25.webp,MountAspiring_25_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_26.webp,MountAspiring_26_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_28.webp,MountAspiring_28_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_27.webp,MountAspiring_27_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_30.webp,MountAspiring_30_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_31.webp,MountAspiring_31_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_32.webp,MountAspiring_32_1.webp,,,0R 0,,Mount Aspiring National Park
